Worker	WorkerQuality_Estm_DS_Exp_n	WorkerQuality_Estm_DS_Exp_w	WorkerQuality_Estm_DS_ML_n	WorkerQuality_Estm_DS_ML_w	WorkerQuality_Estm_DS_Min_n	WorkerQuality_Estm_DS_Min_w	WorkerQuality_Eval_DS_Exp_n	WorkerQuality_Eval_DS_Exp_w	WorkerQuality_Eval_DS_ML_n	WorkerQuality_Eval_DS_ML_w	WorkerQuality_Eval_DS_Min_n	WorkerQuality_Eval_DS_Min_w	Number of labels	Gold Tests
1396e33d-25c8-4dfd-ab2b-f000d52e2a21	-22.84%	-22.84%	22.07%	22.07%	22.07%	22.07%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	3.0000
143cb061-772b-4f50-80f3-813623ba8f03	50.05%	50.05%	74.22%	74.22%	74.22%	74.22%	N/A	N/A	N/A	N/A	N/A	N/A	87.0000	13.0000
14916b64-edfc-4877-bd62-a3ee88caae26	38.34%	38.34%	55.71%	55.71%	55.71%	55.71%	N/A	N/A	N/A	N/A	N/A	N/A	68.0000	32.0000
15e27004-a33f-4234-9a8e-e137bd1e141f	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	1.0000
173f7190-7127-4651-8d4a-8a6e87c17afc	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	38.0000	0.0000
174b40fa-9d16-4a57-a934-3a0209b09a49	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	0.0000
17940883-bbe2-4f5e-a5b8-e751b7a7a7a1	55.38%	55.38%	74.93%	74.93%	74.93%	74.93%	N/A	N/A	N/A	N/A	N/A	N/A	87.0000	67.0000
183b7dd3-dd62-4340-9e1a-c3272d4d5f2f	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	0.0000
1885de03-dd49-42c1-8e51-185c03f8326d	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	0.0000
19ce7bb2-1ef5-4904-9582-67a2b567cd29	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	70.0000	65.0000
19e06e2f-7e72-45f8-8110-928fa490c6ce	50.96%	50.96%	69.20%	69.20%	69.20%	69.20%	N/A	N/A	N/A	N/A	N/A	N/A	57.0000	34.0000
1b5e103c-fbdc-45a7-aef7-d84dc2e9068d	3.52%	3.52%	46.80%	46.80%	46.80%	46.80%	N/A	N/A	N/A	N/A	N/A	N/A	56.0000	39.0000
1bf52802-8984-4db9-9da6-8912cfa5cd4e	-57.82%	-57.82%	49.64%	49.64%	49.64%	49.64%	N/A	N/A	N/A	N/A	N/A	N/A	19.0000	9.0000
1bfb6a8e-564e-456f-91f9-ecdafb773b19	29.21%	29.21%	63.97%	63.97%	63.97%	63.97%	N/A	N/A	N/A	N/A	N/A	N/A	59.0000	37.0000
1c138619-bded-4ee6-b35f-df0a9c37dada	-27.09%	-27.09%	36.42%	36.42%	36.42%	36.42%	N/A	N/A	N/A	N/A	N/A	N/A	14.0000	1.0000
1cc1153c-5a90-4e6b-8cbe-04b7fd18c9ef	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	41.0000	1.0000
1e00ac1d-234a-43a5-90d6-a32cb5b06572	23.04%	23.04%	41.36%	41.36%	41.36%	41.36%	N/A	N/A	N/A	N/A	N/A	N/A	69.0000	34.0000
1e5b6eec-b36c-4a39-9f1f-b4587ccc4a55	-121.64%	-121.64%	29.28%	29.28%	29.28%	29.28%	N/A	N/A	N/A	N/A	N/A	N/A	29.0000	6.0000
1ff0a1bd-2f94-4753-9be5-e7e2be0824c2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	2.0000
20130617-b211-45e4-89e6-1f2288283334	53.36%	53.36%	74.52%	74.52%	74.52%	74.52%	N/A	N/A	N/A	N/A	N/A	N/A	116.0000	80.0000
20e017db-20c6-4055-9647-a0280a9ccab9	-84.46%	-84.46%	6.87%	6.87%	6.87%	6.87%	N/A	N/A	N/A	N/A	N/A	N/A	20.0000	1.0000
21d46b18-4f62-445d-b138-74d3763982d9	53.54%	53.54%	73.55%	73.55%	73.55%	73.55%	N/A	N/A	N/A	N/A	N/A	N/A	95.0000	55.0000
24043c08-7b8e-4fbe-83a9-0447117ca3d5	-11.21%	-11.21%	17.96%	17.96%	17.96%	17.96%	N/A	N/A	N/A	N/A	N/A	N/A	20.0000	7.0000
24f9888a-c271-4b8f-9a5c-d67931c384b1	-112.94%	-112.94%	40.33%	40.33%	40.33%	40.33%	N/A	N/A	N/A	N/A	N/A	N/A	61.0000	55.0000
27114c41-b11c-48e4-b5cc-730a25391004	-150.46%	-150.46%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	63.0000	1.0000
2721e2d3-b15c-42df-b777-19b9c33e8636	64.54%	64.54%	83.90%	83.90%	83.90%	83.90%	N/A	N/A	N/A	N/A	N/A	N/A	93.0000	68.0000
280cf580-375a-44f3-a107-930d92c18390	-67.60%	-67.60%	6.43%	6.43%	6.43%	6.43%	N/A	N/A	N/A	N/A	N/A	N/A	8.0000	1.0000
