Worker	WorkerQuality_Estm_DS_Exp_n	WorkerQuality_Estm_DS_Exp_w	WorkerQuality_Estm_DS_ML_n	WorkerQuality_Estm_DS_ML_w	WorkerQuality_Estm_DS_Min_n	WorkerQuality_Estm_DS_Min_w	WorkerQuality_Eval_DS_Exp_n	WorkerQuality_Eval_DS_Exp_w	WorkerQuality_Eval_DS_ML_n	WorkerQuality_Eval_DS_ML_w	WorkerQuality_Eval_DS_Min_n	WorkerQuality_Eval_DS_Min_w	Number of labels	Gold Tests
5f5fb3e4-797b-4c0f-aba9-ff429143994e	10.32%	10.32%	36.08%	36.08%	36.08%	36.08%	N/A	N/A	N/A	N/A	N/A	N/A	28.0000	10.0000
5fd747f7-8519-4440-a264-7c1cd6ec9fdb	59.06%	59.06%	80.85%	80.85%	80.85%	80.85%	N/A	N/A	N/A	N/A	N/A	N/A	97.0000	78.0000
60f51dd5-7eb5-4959-a307-10eb5d3b8fc7	23.51%	23.51%	66.06%	66.06%	66.06%	66.06%	N/A	N/A	N/A	N/A	N/A	N/A	52.0000	35.0000
61380be3-6161-48f9-9255-14202fc175a3	29.59%	29.59%	58.94%	58.94%	58.94%	58.94%	58.85%	58.85%	79.30%	79.30%	79.30%	79.30%	267.0000	70.0000
615d07c5-1dbf-4dba-8907-524990174ee4	-27.25%	-27.25%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	5.0000
61efa906-0d27-42a9-9a53-a8c34b23a99b	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
64e84eb7-eca4-4367-82bc-1a39f82e7ffd	14.04%	14.04%	61.96%	61.96%	61.96%	61.96%	N/A	N/A	N/A	N/A	N/A	N/A	27.0000	6.0000
68792edc-d74f-4228-8d31-9a7895327818	-30.59%	-30.59%	47.08%	47.08%	47.08%	47.08%	N/A	N/A	N/A	N/A	N/A	N/A	20.0000	9.0000
68884e25-b0a4-4e6f-a624-fb807656c1c5	21.48%	21.48%	66.13%	66.13%	66.13%	66.13%	N/A	N/A	N/A	N/A	N/A	N/A	58.0000	27.0000
68cc8f94-f364-42bf-a91e-c4f078d35dfd	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	169.0000	4.0000
68cf53a5-f19f-4128-8ac4-6f73fdd30fe6	-87.49%	-87.49%	16.75%	16.75%	16.75%	16.75%	N/A	N/A	N/A	N/A	N/A	N/A	12.0000	4.0000
693c2127-08f5-43c6-b99b-df5502869102	-0.30%	-0.30%	39.01%	39.01%	39.01%	39.01%	N/A	N/A	N/A	N/A	N/A	N/A	67.0000	18.0000
6ae95ca0-439a-4c42-baa4-b4958b19e3e9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	29.0000	0.0000
6b7e23a3-6f55-455b-a201-a47b9496ff67	35.09%	35.09%	69.27%	69.27%	69.27%	69.27%	N/A	N/A	N/A	N/A	N/A	N/A	54.0000	40.0000
6bdc23a4-4f74-481f-b7dc-c332a823824d	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	5.0000	0.0000
6d12638b-b124-4783-93ba-05385b06303f	-315.15%	-315.15%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	29.0000	0.0000
6d30a59f-20f8-48ed-83ed-fab476fa2398	65.51%	65.51%	84.75%	84.75%	84.75%	84.75%	N/A	N/A	N/A	N/A	N/A	N/A	45.0000	37.0000
6dcd986c-fdd9-44ab-9725-e5c7d557b451	12.81%	12.81%	44.17%	44.17%	44.17%	44.17%	N/A	N/A	N/A	N/A	N/A	N/A	119.0000	90.0000
6ebbc1d4-ddb9-4232-a41d-0bbf74dc44e1	-42.49%	-42.49%	37.10%	37.10%	37.10%	37.10%	N/A	N/A	N/A	N/A	N/A	N/A	15.0000	3.0000
6ec7e799-b9f0-4c05-bc10-166b55caa834	-177.43%	-177.43%	6.74%	6.74%	6.74%	6.74%	N/A	N/A	N/A	N/A	N/A	N/A	68.0000	46.0000
6eec69c1-7317-4455-b031-11412de34b46	-10.10%	-10.10%	29.72%	29.72%	29.72%	29.72%	N/A	N/A	N/A	N/A	N/A	N/A	31.0000	5.0000
70167cf3-7503-4e6d-b223-b85cb0973f6c	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	7.0000
70e2d08e-64ce-40ee-82af-3dd18e88daad	-23.82%	-23.82%	30.80%	30.80%	30.80%	30.80%	N/A	N/A	N/A	N/A	N/A	N/A	19.0000	12.0000
712ffe38-3300-49da-bc0e-402e5e5197fb	44.01%	44.01%	58.85%	58.85%	58.85%	58.85%	N/A	N/A	N/A	N/A	N/A	N/A	59.0000	44.0000
717a56a8-a7f8-4a98-9b30-c2eab3ae85ff	32.92%	32.92%	51.27%	51.27%	51.27%	51.27%	N/A	N/A	N/A	N/A	N/A	N/A	805.0000	233.0000
71ba711d-de85-4ac5-9d87-60dfedb5ee63	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	1.0000
72f670e4-cde9-4b1e-ad74-f8ab5726cec5	35.62%	35.62%	72.41%	72.41%	72.41%	72.41%	N/A	N/A	N/A	N/A	N/A	N/A	54.0000	37.0000
73c5ac6a-1670-4f94-a619-7350c7ad49b6	46.37%	46.37%	68.27%	68.27%	68.27%	68.27%	N/A	N/A	N/A	N/A	N/A	N/A	47.0000	21.0000
73e55160-c803-43d5-9166-287f29846e7b	45.48%	45.48%	63.21%	63.21%	63.21%	63.21%	N/A	N/A	N/A	N/A	N/A	N/A	45.0000	27.0000
74af76a2-a09b-418d-9bb9-9a53cd6b57f2	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
757147c0-831f-47b6-b3dd-892475661256	21.48%	21.48%	37.12%	37.12%	37.12%	37.12%	N/A	N/A	N/A	N/A	N/A	N/A	27.0000	20.0000
776538a3-f510-4e84-b270-7b1a1f472483	44.66%	44.66%	70.67%	70.67%	70.67%	70.67%	N/A	N/A	N/A	N/A	N/A	N/A	47.0000	32.0000
7837ac92-5c92-4d4e-b7c4-2fe9e918a08f	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	32.0000	2.0000
7858a3a9-36f3-4a24-a132-e9f30499743d	42.73%	42.73%	58.07%	58.07%	58.07%	58.07%	N/A	N/A	N/A	N/A	N/A	N/A	105.0000	44.0000
7879f180-c89e-4a0a-8d15-c6c49fe2b57b	-96.33%	-96.33%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	12.0000	3.0000
79633b35-f2a6-4e1a-a1c4-65e840c4fca0	41.33%	41.33%	69.81%	69.81%	69.81%	69.81%	N/A	N/A	N/A	N/A	N/A	N/A	128.0000	76.0000
797ecce6-da6a-4be9-873a-0e4c7a7b9cf7	44.80%	44.80%	69.01%	69.01%	69.01%	69.01%	N/A	N/A	N/A	N/A	N/A	N/A	57.0000	43.0000
79a65126-27c3-4a2d-b600-6fecdd12919e	38.16%	38.16%	66.00%	66.00%	66.00%	66.00%	N/A	N/A	N/A	N/A	N/A	N/A	38.0000	13.0000
7aac2f03-8a2c-4c9d-8d42-92edff6199a8	-68.65%	-68.65%	25.17%	25.17%	25.17%	25.17%	N/A	N/A	N/A	N/A	N/A	N/A	25.0000	3.0000
7b1596af-14d4-4f2b-9e4e-71b1884db836	-76.87%	-76.87%	16.53%	16.53%	16.53%	16.53%	N/A	N/A	N/A	N/A	N/A	N/A	6.0000	4.0000
7bc8e0d3-e465-420d-9983-82252eb1e029	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
7c8d6857-9481-4bed-83f6-0b0b0377fb6f	40.49%	40.49%	68.93%	68.93%	68.93%	68.93%	N/A	N/A	N/A	N/A	N/A	N/A	120.0000	88.0000
7c8fc21b-db0a-4dcd-bf2a-bd8cf18f7464	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
7cb17df5-0fbe-4c2f-8665-31f7f2db1e08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	48.0000	47.0000
7cc49eca-5966-43ea-8941-72b988c30108	-1285.65%	-1285.65%	20.02%	20.02%	20.02%	20.02%	N/A	N/A	N/A	N/A	N/A	N/A	65.0000	1.0000
7e388339-eb42-4986-b72f-d5c338e5dbc1	3.97%	3.97%	48.55%	48.55%	48.55%	48.55%	N/A	N/A	N/A	N/A	N/A	N/A	67.0000	16.0000
80814c75-1114-4907-88ed-a90f768b9a9c	-46.94%	-46.94%	44.07%	44.07%	44.07%	44.07%	N/A	N/A	N/A	N/A	N/A	N/A	85.0000	2.0000
80929326-14db-4c36-a0fd-6753913ff10a	43.38%	43.38%	63.33%	63.33%	63.33%	63.33%	N/A	N/A	N/A	N/A	N/A	N/A	215.0000	97.0000
821868ee-ff23-4093-a85e-627337928917	-78.56%	-78.56%	6.56%	6.56%	6.56%	6.56%	N/A	N/A	N/A	N/A	N/A	N/A	7.0000	5.0000
8439466b-2197-4ed1-8f9a-130e11d3a6ec	76.14%	76.14%	79.63%	79.63%	79.63%	79.63%	N/A	N/A	N/A	N/A	N/A	N/A	51.0000	44.0000
8454951d-f495-4db2-9eab-bcec1f5715d7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	2.0000
87aaffc1-f017-4eac-8a24-f19fd060dc4d	36.50%	36.50%	55.76%	55.76%	55.76%	55.76%	N/A	N/A	N/A	N/A	N/A	N/A	81.0000	30.0000
87f24f89-61a6-486a-8b1a-6fd092ad7240	70.60%	70.60%	82.32%	82.32%	82.32%	82.32%	N/A	N/A	N/A	N/A	N/A	N/A	97.0000	65.0000
889aa330-560c-4133-9c62-71d3842a264b	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	1.0000
88fa134c-2aa7-4815-a7f3-a631fe9400a0	31.95%	31.95%	75.93%	75.93%	75.93%	75.93%	N/A	N/A	N/A	N/A	N/A	N/A	59.0000	48.0000
899c1f0d-279e-4c34-8b77-628aec00ae68	-76.13%	-76.13%	36.08%	36.08%	36.08%	36.08%	N/A	N/A	N/A	N/A	N/A	N/A	49.0000	34.0000
8a471c0f-fa81-4c57-9b65-bd04a92c6a5e	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	3.0000
8a84d5e0-2193-4fb3-877e-0a7cc38fe47c	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.0000	5.0000
8bea027e-7d62-47d9-92a3-6b8d38550984	42.13%	42.13%	66.05%	66.05%	66.05%	66.05%	N/A	N/A	N/A	N/A	N/A	N/A	141.0000	71.0000
8dfa2607-f5fa-4771-80df-7b1ca6525444	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	1.0000
8f71d48e-76b5-4ae4-8249-a1c93ee08deb	-55.20%	-55.20%	66.78%	66.78%	66.78%	66.78%	N/A	N/A	N/A	N/A	N/A	N/A	58.0000	14.0000
9005a64a-fa73-4c84-b08b-b61eece1b9b7	-221.04%	-221.04%	36.59%	36.59%	36.59%	36.59%	N/A	N/A	N/A	N/A	N/A	N/A	2556.0000	119.0000
90376d88-e8c1-424d-86da-840a358f459d	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	10.0000
9047ac35-318e-4810-a601-bc658e63b3ab	-35.15%	-35.15%	44.94%	44.94%	44.94%	44.94%	N/A	N/A	N/A	N/A	N/A	N/A	69.0000	58.0000
9128677a-9543-4d2d-861f-0c649a3dcc88	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
9325876b-5fa3-46dd-89cd-9805658dedc7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	9.0000
939b6faa-0b57-4160-bcc2-d11fd2b69d9f	13.31%	13.31%	58.18%	58.18%	58.18%	58.18%	N/A	N/A	N/A	N/A	N/A	N/A	28.0000	10.0000
94315be6-ef38-44f9-9390-3aff6d7c4f10	32.40%	32.40%	60.95%	60.95%	60.95%	60.95%	N/A	N/A	N/A	N/A	N/A	N/A	113.0000	29.0000
945e109b-e1e0-4920-802d-a95d14199d89	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
94954ce3-d643-4521-8910-5dec1e13d8ba	38.86%	38.86%	58.49%	58.49%	58.49%	58.49%	N/A	N/A	N/A	N/A	N/A	N/A	162.0000	69.0000
94a4bf20-8e5d-4762-8128-a037ac89460e	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	2.0000
97bafb4a-4277-43f3-a8f5-305ba3fdecc1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.0000	0.0000
97f4cded-4e0d-48c1-97bc-510fcc148afa	54.83%	54.83%	72.37%	72.37%	72.37%	72.37%	N/A	N/A	N/A	N/A	N/A	N/A	71.0000	46.0000
9b595ba6-529b-4d37-93d7-dd189184e15a	53.91%	53.91%	70.47%	70.47%	70.47%	70.47%	N/A	N/A	N/A	N/A	N/A	N/A	214.0000	121.0000
9ba59a51-c55e-4778-8e95-e8877419ce8a	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	20.0000	11.0000
9c631d85-73d1-4faa-a90d-5423598b3e49	19.73%	19.73%	32.65%	32.65%	32.65%	32.65%	N/A	N/A	N/A	N/A	N/A	N/A	86.0000	61.0000
9ec81b01-c785-47cf-a253-47e2ba13708b	-217.56%	-217.56%	38.09%	38.09%	38.09%	38.09%	N/A	N/A	N/A	N/A	N/A	N/A	159.0000	5.0000
9ee2a39d-d2d6-4c23-82b7-4dbb5d8813a5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	1.0000
9f1889cd-dfbb-4be1-bc75-cb356b2f7abc	51.59%	51.59%	67.93%	67.93%	67.93%	67.93%	N/A	N/A	N/A	N/A	N/A	N/A	47.0000	31.0000
9f5c49e0-de13-453a-bc1b-45dc0452f13b	41.75%	41.75%	64.64%	64.64%	64.64%	64.64%	N/A	N/A	N/A	N/A	N/A	N/A	47.0000	24.0000
9fea55a6-7cd4-4f65-a4d9-c371dbf99d60	33.71%	33.71%	64.57%	64.57%	64.57%	64.57%	N/A	N/A	N/A	N/A	N/A	N/A	96.0000	32.0000
a099e5dc-a57f-43e9-98eb-7d78bebc02e3	-18.34%	-18.34%	7.36%	7.36%	7.36%	7.36%	N/A	N/A	N/A	N/A	N/A	N/A	8.0000	4.0000
a0c7baaa-c99d-40e3-8a68-9f19b707191e	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	29.0000	0.0000
a15fc20f-a4e9-49e4-b4bb-5376c4a89615	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	67.0000	0.0000
a25bd80c-183f-45d5-8f4b-1366e64ab8ca	-168.15%	-168.15%	24.34%	24.34%	24.34%	24.34%	N/A	N/A	N/A	N/A	N/A	N/A	94.0000	2.0000
a2a3e73f-7944-48a7-bfa1-d85208459224	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8.0000	6.0000
a3195db2-6d17-43d8-9ebc-f96dd1ddefe1	-104.25%	-104.25%	15.09%	15.09%	15.09%	15.09%	N/A	N/A	N/A	N/A	N/A	N/A	49.0000	37.0000
a4894ee7-b3ed-4d1e-927a-53b1bf0d60a1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	7.0000
a534c1a9-1a8a-47ee-a607-c8579789c24a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	22.0000	0.0000
a6221610-9a12-485b-8687-0da9eac33a73	-71.66%	-71.66%	19.87%	19.87%	19.87%	19.87%	N/A	N/A	N/A	N/A	N/A	N/A	20.0000	1.0000
a65327dd-dc7b-4983-83b2-07cd2c3de53a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	29.0000	1.0000
a7118d60-68a8-4c78-b5a0-c7f6a01fabbc	41.11%	41.11%	61.75%	61.75%	61.75%	61.75%	N/A	N/A	N/A	N/A	N/A	N/A	79.0000	33.0000
a748a3a1-2592-49c0-b0ce-332680bb20a3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
a7cd4760-382e-4256-9305-5b11e008830d	-59.41%	-59.41%	43.82%	43.82%	43.82%	43.82%	N/A	N/A	N/A	N/A	N/A	N/A	48.0000	39.0000
a7fd02fb-70ee-4683-b8f8-b7c9351128b4	69.65%	69.65%	84.50%	84.50%	84.50%	84.50%	N/A	N/A	N/A	N/A	N/A	N/A	57.0000	45.0000
a80ae2eb-068c-4868-aa04-759cce866d75	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
a8aa5fc6-e9f3-4b12-a3a5-6aac84043de8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7.0000	0.0000
a8fdd7ec-73ae-49de-81d9-59990e03df22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	38.0000	36.0000
ad058b77-81ae-46c2-935f-4be161aac139	27.98%	27.98%	51.46%	51.46%	51.46%	51.46%	N/A	N/A	N/A	N/A	N/A	N/A	228.0000	83.0000
af417124-b838-4a3d-9a56-124bd63059df	64.17%	64.17%	79.33%	79.33%	79.33%	79.33%	N/A	N/A	N/A	N/A	N/A	N/A	70.0000	55.0000
af579c2c-37ec-4975-952a-773fd6f7f18e	-109.57%	-109.57%	33.69%	33.69%	33.69%	33.69%	N/A	N/A	N/A	N/A	N/A	N/A	51.0000	5.0000
afbed330-ecb5-4cbe-bda6-6a03a5074fce	-49.76%	-49.76%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	17.0000	2.0000
afe1b8f5-4151-4c4b-ae5e-4afc5f782cf3	4.60%	4.60%	30.19%	30.19%	30.19%	30.19%	N/A	N/A	N/A	N/A	N/A	N/A	46.0000	31.0000
b03ad7f8-6a28-4f37-a8fd-43107bd3d9e1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
b075c5aa-6bb4-4eb0-b2bb-38067e4aebb0	-8.22%	-8.22%	29.40%	29.40%	29.40%	29.40%	N/A	N/A	N/A	N/A	N/A	N/A	50.0000	13.0000
b0befb65-23c4-442f-8e83-e227cc0a6b15	-227.29%	-227.29%	30.20%	30.20%	30.20%	30.20%	N/A	N/A	N/A	N/A	N/A	N/A	1440.0000	43.0000
b1e6cddf-5f4d-443a-92b2-6022a8a492f9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.0000	1.0000
b2030b3f-2f9c-4462-853f-f73a33b54c30	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8.0000	4.0000
b2bd7e1e-ba9c-4415-80f8-6003517b36a5	39.03%	39.03%	62.43%	62.43%	62.43%	62.43%	N/A	N/A	N/A	N/A	N/A	N/A	80.0000	37.0000
b4ea9b4d-4478-4eea-b56f-c07b5c43354c	-841.64%	-841.64%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	74.0000	0.0000
b5dbd6b7-f0f0-4f09-8976-dff372ad9271	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9.0000	0.0000
b615cfc7-f4ed-4a1f-b228-55e0258bd278	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
b7e9afa0-8a35-438d-85b0-dc98193256c5	-315.62%	-315.62%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	136.0000	0.0000
b889cd99-7e02-4929-91b3-07cd3fca48c6	-172.81%	-172.81%	4.49%	4.49%	4.49%	4.49%	N/A	N/A	N/A	N/A	N/A	N/A	117.0000	2.0000
b9f6a513-bdd2-45a3-b3eb-496481b89903	17.33%	17.33%	63.45%	63.45%	63.45%	63.45%	N/A	N/A	N/A	N/A	N/A	N/A	26.0000	13.0000
b9fb9395-f61b-42ba-801d-386984972c48	-43.16%	-43.16%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
ba0d1560-1cc0-4e9a-91a8-c3e8aebbdc83	56.25%	56.25%	74.08%	74.08%	74.08%	74.08%	N/A	N/A	N/A	N/A	N/A	N/A	42.0000	23.0000
ba5cf4da-aec0-40a1-a6a3-e952cb764c30	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	44.0000	4.0000
bbf08dfd-c680-4319-ba71-77b7104d2c04	2.03%	2.03%	51.32%	51.32%	51.32%	51.32%	N/A	N/A	N/A	N/A	N/A	N/A	47.0000	12.0000
be13fbcc-ed50-4152-97dd-eb766304eb68	59.51%	59.51%	72.64%	72.64%	72.64%	72.64%	N/A	N/A	N/A	N/A	N/A	N/A	284.0000	154.0000
beaf783a-dc3f-4ea7-a259-57a3cb0cea00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	0.0000
bebed23d-3515-4a29-8a3a-2fa96aa95276	-129.05%	-129.05%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	6.0000	0.0000
bef7550b-076a-4391-89d0-9665c4bdce5f	-9.23%	-9.23%	66.84%	66.84%	66.84%	66.84%	N/A	N/A	N/A	N/A	N/A	N/A	56.0000	44.0000
c179dac1-f9a0-4f6e-b5ab-f6723021269b	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8.0000	6.0000
c26ed417-9155-46c0-94fe-040503bd18c4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	2.0000
c4ba4d40-3811-4e61-9326-528e8f4d220e	-14.52%	-14.52%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	28.0000	3.0000
c718ebb3-3e49-4d0b-a4e0-f02b13720867	-20.06%	-20.06%	53.32%	53.32%	53.32%	53.32%	N/A	N/A	N/A	N/A	N/A	N/A	27.0000	17.0000
c7190807-b56e-40c5-b96e-49dc8368328c	36.20%	36.20%	58.32%	58.32%	58.32%	58.32%	N/A	N/A	N/A	N/A	N/A	N/A	213.0000	37.0000
c7baad83-c181-4f37-a374-88b406d9fa45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
c859f456-be8c-4c4f-89f9-bb03e7ce327a	-62.43%	-62.43%	38.22%	38.22%	38.22%	38.22%	N/A	N/A	N/A	N/A	N/A	N/A	37.0000	24.0000
c887abf7-6d33-4daf-9eeb-9a33e4467284	30.21%	30.21%	67.78%	67.78%	67.78%	67.78%	N/A	N/A	N/A	N/A	N/A	N/A	33.0000	24.0000
c8da3aa4-02e6-4e34-b1a6-047e6c50be94	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	24.0000	0.0000
c8edf122-fd5b-47f7-b439-7c3891c24e86	5.68%	5.68%	72.11%	72.11%	72.11%	72.11%	N/A	N/A	N/A	N/A	N/A	N/A	68.0000	54.0000
c93049c3-c4e7-4407-8feb-44bf6eff2d1b	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	0.0000
cae0bf84-5439-43b4-be39-af7861423fdd	52.08%	52.08%	79.34%	79.34%	79.34%	79.34%	N/A	N/A	N/A	N/A	N/A	N/A	74.0000	54.0000
cb3d55bb-38a4-43bb-8786-3806fa9951f5	-21.28%	-21.28%	55.75%	55.75%	55.75%	55.75%	N/A	N/A	N/A	N/A	N/A	N/A	40.0000	5.0000
cda2ae93-8cfc-4e0d-861c-5b7b151a6a5c	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.0000	0.0000
cda35e75-e80a-4275-b34f-d7dadb3c5f0a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
ce145393-7439-4695-943d-7f98c1807b7b	-37.93%	-37.93%	31.07%	31.07%	31.07%	31.07%	N/A	N/A	N/A	N/A	N/A	N/A	23.0000	12.0000
ce2a540c-1519-4be2-9d19-c57872816314	44.56%	44.56%	77.04%	77.04%	77.04%	77.04%	N/A	N/A	N/A	N/A	N/A	N/A	90.0000	75.0000
ce5bfe65-0ea0-46e8-abac-14e38290f995	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.0000	0.0000
cea9e332-0eca-40e2-84bd-8918b6bc9a1c	36.03%	36.03%	62.38%	62.38%	62.38%	62.38%	N/A	N/A	N/A	N/A	N/A	N/A	62.0000	28.0000
d02f57b9-489c-4c7c-9ff1-14d0c9641fc5	33.29%	33.29%	58.11%	58.11%	58.11%	58.11%	N/A	N/A	N/A	N/A	N/A	N/A	110.0000	28.0000
d1fdda79-e0b2-4987-9d64-0d6c75781f6a	39.71%	39.71%	64.40%	64.40%	64.40%	64.40%	N/A	N/A	N/A	N/A	N/A	N/A	38.0000	14.0000
d25b8855-9aa1-4ac6-bbab-38f31b8013ab	-30.18%	-30.18%	8.99%	8.99%	8.99%	8.99%	N/A	N/A	N/A	N/A	N/A	N/A	10.0000	8.0000
d28773ff-5d91-4bdb-8609-26ec40e9929e	-22.27%	-22.27%	33.49%	33.49%	33.49%	33.49%	N/A	N/A	N/A	N/A	N/A	N/A	57.0000	41.0000
d2b04e27-13ce-4aff-a06a-7c7147c96696	-423.91%	-423.91%	59.47%	59.47%	59.47%	59.47%	N/A	N/A	N/A	N/A	N/A	N/A	142.0000	6.0000
d3636d4c-2d16-410c-bf44-c066ecaf1c31	-130.26%	-130.26%	30.68%	30.68%	30.68%	30.68%	N/A	N/A	N/A	N/A	N/A	N/A	771.0000	54.0000
d3fc897d-702b-431a-8a48-dd1d9ee81382	-81.67%	-81.67%	46.25%	46.25%	46.25%	46.25%	N/A	N/A	N/A	N/A	N/A	N/A	51.0000	49.0000
d5e1a7c0-b593-4246-b32f-b82136c4accc	62.83%	62.83%	76.03%	76.03%	76.03%	76.03%	N/A	N/A	N/A	N/A	N/A	N/A	50.0000	39.0000
d630897c-5f5a-4338-b7af-f4c225eb808e	47.18%	47.18%	75.75%	75.75%	75.75%	75.75%	N/A	N/A	N/A	N/A	N/A	N/A	59.0000	43.0000
d642ac1b-86de-4c86-bf6e-df58bb79c57a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	26.0000	0.0000
